benchmark,seed,project_id,base_model_id,model_id,solution,nmse_test,nmse_test_noiseless,success
Nguyen-6,0,63aa4c8b95a9f19e3d3f7431,63aa4cd68991ac9fbc7c2992,63aa4cecc644f4f2819150c4,sin(x1) + sin(x1 + x1^2),4.309040634736071e-33,4.309040634736071e-33,True
Nguyen-8,0,63aa4c8b07c9d0fcdf3f73ac,63aa4cd6e30795689f7c28f2,63aa4cec3de70dd61e9150ea,log(x1 + x1^2 + sin(x1)/x1 + sin(sin(sin(sin(sin(x1)))))/sin(sin(sin(sin(x1 + x1^2 - x1^2))/x1)) - x1^2),0.010067573806851578,0.010067573806851578,False
Nguyen-5,0,63aa4c8bb51dc8ac0a3f71d0,63aa4cd68991ac9fbc7c2996,63aa4ceccff80dfaa7065e20,sin(x1^2) - cos(sin(x1)*sin(sin(x1))) - x1*sin(x1)*sin(x1*sin(x1) + sin(x1)*sin(sin(x1)) - sin(x1)^2),5.415405701715318e-06,5.415405701715318e-06,False
Nguyen-4,0,63aa4c8b9aa9915ada3f7220,63aa4cd6c644f4f2819150a1,63aa4cecc644f4f2819150c0,x1*exp(x1^3 + x1*cos(sin(x1^2))) + sin(x1)*sin(x1^2)*cos(x1^5 - cos(sin(x1^3)*cos(sin(sin(x1))*cos(x1^3 + x1*cos(sin(x1^2))) - x1^10))),0.00012120004987152492,0.00012120004987152492,False
Nguyen-1,0,63aa4c8bdaeddbbfe09b1818,63aa4d60f5f2ba12919150a9,63aa4d76fb3eed86d0065e7c,x1 + x1^2 + x1^3,5.208995996872335e-33,5.208995996872335e-33,True
Nguyen-3,0,63aa4c8b7decfb212e9b17cd,63aa4d60e30795689f7c2929,63aa4d760dbd306bda7c2a7c,x1 + x1^2 + x1^3 + x1^4 + x1^5,2.710993779176282e-32,2.710993779176282e-32,True
Nguyen-2,0,63aa4c8bdaeddbbfe09b1819,63aa4d7fe30795689f7c2959,63aa4d9ae30795689f7c297b,x1 + x1^3 + x1^4 + x1^2*cos(x1^2 - x1^2),8.720368725191477e-32,8.720368725191477e-32,True
Nguyen-9,0,63aa4d30fd56d272529b1acf,63aa4d763de70dd61e915103,63aa4d8cfb3eed86d0065e8f,x1^3*x2*log(x2) + sin(x1) + sin(x2^2) - x1^3*x2*log(x2),6.621523726270749e-32,6.621523726270749e-32,True
Nguyen-11,0,63aa4d4fafc983806c9b1976,63aa4d95fb3eed86d0065e9e,63aa4db0e30795689f7c299b,exp(x2*log(x1)),6.142675590701004e-32,6.142675590701004e-32,True
Nguyen-7,0,63aa4c8b7decfb212e9b17cc,63aa4d61fb3eed86d0065e6d,63aa4d77e30795689f7c294a,x1 + x1*sin(x1)^2/(x1 + sin(sin(x1))*sin(cos(x1)) + sin(x1)^2*sin(x1/sin(x1))*sin(x1*sin(sin(x1)))),2.8413783338444238e-06,2.8413783338444238e-06,False
